model,class,mmd,wasserstein,swd,coverage,precision,nll,mode_coverage
kde,gaussian_mixture,0.00022586780672417817,0.32771197421347414,0.068150200993194,0.9745,0.89,0.02568771054019821,1.0
kde,ring,0.0009802870114385964,0.3588520125242915,0.10265899227019458,0.9585,0.9125,1.1180207414168704,
kde,two_moons,0.00024322677756494215,0.21645600792857128,0.058748589064915965,0.947,0.904,1.500742303256316,
kde,spiral,0.0004634900648741169,0.21828104599032774,0.06480358125363088,0.928,0.9135,2.014255648651077,
kde,macro_avg,0.0004782179151504584,0.28032526016416615,0.07359034089548386,0.952,0.905,1.1646766009661156,1.0
gmm,gaussian_mixture,0.00011780487239954063,0.20312279458802862,0.05584583790465804,0.9565,0.922,-0.010705932250076697,1.0
gmm,ring,6.20063709078078e-05,0.28713763678183246,0.057086663084984834,0.955,0.9155,1.1325632044314402,
gmm,two_moons,0.00028131480509352436,0.24092874704633543,0.05890020374366944,0.9375,0.919,1.5333590284310945,
gmm,spiral,0.0005661241948333728,0.22943474919198717,0.06613603118544945,0.9265,0.904,1.9436107085529497,
gmm,macro_avg,0.0002568125608085614,0.24015598190204593,0.05949218397969044,0.943875,0.915125,1.149706752291352,1.0
diffusion,gaussian_mixture,0.00015841717818321222,0.3069718598496044,0.05804612631433059,0.9075,0.963,1.3089535890757797,1.0
diffusion,ring,0.0003052048831790888,0.23887390944472148,0.06783771205395268,0.922,0.963,2.1053906741467934,
diffusion,two_moons,0.00010087781871437329,0.14581882793241602,0.05378327494315547,0.891,0.9475,1.9570908371920546,
diffusion,spiral,0.00044107563568274166,0.197452635830162,0.05905692064731577,0.9085,0.8765,2.59489794047437,
diffusion,macro_avg,0.000251393878939854,0.22227930826422598,0.059681008489688624,0.90725,0.9375,1.9915832602222494,1.0
