outlier_ratio,model,class,mmd,wasserstein,swd,coverage,precision,nll,mode_coverage
0.0,kde,gaussian_mixture,0.00016705203781541833,0.2920001049732366,0.049039401294961926,0.9735,0.9,0.07546655679532607,1.0
0.0,kde,ring,0.0010270024602427874,0.32829320176221144,0.08391155812342779,0.9595,0.9225,1.188949549953667,
0.0,kde,two_moons,0.00012860057407393377,0.1752931685926723,0.03125135665033845,0.9475,0.92,1.6407092078605265,
0.0,kde,spiral,0.0004193972600476936,0.18837274610831056,0.046681005702986875,0.926,0.923,2.163392847716259,
0.0,kde,macro_avg,0.0004355130830449583,0.24598980535910772,0.05272083044292876,0.951625,0.916375,1.2671295405814447,1.0
0.0,gmm,gaussian_mixture,0.00013125768738020405,0.20381308547321353,0.05121287199773905,0.954,0.928,0.04235652100607894,1.0
0.0,gmm,ring,0.000825801829571926,0.21854142450132974,0.0762746998721905,0.9515,0.921,1.1844948512274747,
0.0,gmm,two_moons,0.00025936640296708724,0.13210186581817834,0.040345653806683146,0.9475,0.9345,1.625622640436588,
0.0,gmm,spiral,0.0003382563676721517,0.1888561300510965,0.0436988733116367,0.932,0.9345,2.048373951885356,
0.0,gmm,macro_avg,0.00038867057189784227,0.18582812646095453,0.05288302474706234,0.9462499999999999,0.9295,1.2252119911388744,1.0
0.0,diffusion,gaussian_mixture,0.0002456999385023195,0.2932503952215837,0.05499260794175438,0.907,0.9735,1.3053891049698554,1.0
0.0,diffusion,ring,0.0003425580455369559,0.21796150183283808,0.05326788164528086,0.915,0.9705,2.093138911324827,
0.0,diffusion,two_moons,7.200368411997005e-05,0.15030450148755997,0.029264678120682022,0.912,0.965,1.942860837775942,
0.0,diffusion,spiral,0.0004971894293384072,0.19975878777505957,0.04568126016489464,0.9215,0.9255,2.5071420079651214,
0.0,diffusion,macro_avg,0.00028936277437441316,0.21531879657926029,0.04580160696815298,0.913875,0.958625,1.9621327155089365,1.0
0.01,kde,gaussian_mixture,0.00022586780672417817,0.32771197421347414,0.068150200993194,0.9745,0.89,0.02568771054019821,1.0
0.01,kde,ring,0.0009802870114385964,0.3588520125242915,0.10265899227019458,0.9585,0.9125,1.1180207414168704,
0.01,kde,two_moons,0.00024322677756494215,0.21645600792857128,0.058748589064915965,0.947,0.904,1.500742303256316,
0.01,kde,spiral,0.0004634900648741169,0.21828104599032774,0.06480358125363088,0.928,0.9135,2.014255648651077,
0.01,kde,macro_avg,0.0004782179151504584,0.28032526016416615,0.07359034089548386,0.952,0.905,1.1646766009661156,1.0
0.01,gmm,gaussian_mixture,0.00011780487239954063,0.20312279458802862,0.05584583790465804,0.9565,0.922,-0.010705932250076697,1.0
0.01,gmm,ring,6.20063709078078e-05,0.28713763678183246,0.057086663084984834,0.955,0.9155,1.1325632044314402,
0.01,gmm,two_moons,0.00028131480509352436,0.24092874704633543,0.05890020374366944,0.9375,0.919,1.5333590284310945,
0.01,gmm,spiral,0.0005661241948333728,0.22943474919198717,0.06613603118544945,0.9265,0.904,1.9436107085529497,
0.01,gmm,macro_avg,0.0002568125608085614,0.24015598190204593,0.05949218397969044,0.943875,0.915125,1.149706752291352,1.0
0.01,diffusion,gaussian_mixture,0.00015841717818321222,0.3069718598496044,0.05804612631433059,0.9075,0.963,1.3089535890757797,1.0
