class,mmd,wasserstein,swd,coverage,precision,nll,mode_coverage
gaussian_mixture,0.00021566417181695385,0.19076628652269426,0.06033976572027071,0.899,0.977,1.299911325306897,1.0
ring,0.0002541263612911848,0.2067203215989519,0.0470080591178379,0.925,0.9655,2.0947556991314906,
two_moons,0.0004234825106470552,0.19480847522940498,0.0443581732204148,0.908,0.9555,1.953738290188289,
spiral,0.0003146591870188953,0.22175364128394892,0.04390899032186257,0.9255,0.932,2.4970532600603446,
macro_avg,0.0003019830576935223,0.20351218115875003,0.0489037470950965,0.914375,0.9574999999999999,1.9613646436717551,1.0
