model,class,mmd,wasserstein,swd,coverage,precision,nll,mode_coverage
kde,gaussian_mixture,0.0013363615133741291,0.5423318211445416,0.17782668042723154,0.9725,0.8365,-0.10210002849464361,1.0
kde,ring,0.0016353852276784764,0.5102295852681353,0.1818679998757487,0.957,0.8655,0.9274278954264996,
kde,two_moons,0.0014734506941571635,0.39189024658736354,0.15153185568842226,0.9535,0.8665,1.0911826442418946,
kde,spiral,0.0022624738223340213,0.3823171842479762,0.21138224853685061,0.919,0.8645,1.5467965000697894,
kde,macro_avg,0.0016769178143859476,0.45669220931200416,0.1806521961320633,0.9505,0.8582500000000001,0.865826752810885,1.0
gmm,gaussian_mixture,0.0015919011289038387,0.3983852790266859,0.21647228300823446,0.971,0.6675,0.2067117029032111,1.0
gmm,ring,0.001446232009442161,0.42397353884497635,0.1807175940368907,0.9425,0.702,1.1984200388176884,
gmm,two_moons,0.002241729601443865,0.3562256640841351,0.17858812972262744,0.9385,0.7555,1.295286556015189,
gmm,spiral,0.0013134999041322093,0.3760115894319712,0.1548970907579459,0.9165,0.8525,1.6321624667166206,
gmm,macro_avg,0.0016483406609805185,0.38864901784694217,0.18266877438142462,0.942125,0.744375,1.0831451911131773,1.0
diffusion,gaussian_mixture,0.0006693462195730415,0.41177957010611976,0.1231609983640578,0.901,0.9095,1.354725661411445,1.0
diffusion,ring,0.0008652623443601293,0.33255632732826257,0.1395099017313095,0.912,0.9215,2.1422751812732304,
diffusion,two_moons,0.0006693417581398187,0.2617904703029291,0.11408373807027539,0.9,0.9065,2.007245746686317,
diffusion,spiral,0.0009711931724940559,0.30942396134896877,0.14302124474001204,0.907,0.816,2.666609916000542,
diffusion,macro_avg,0.0007937858736417613,0.32888758227157,0.12994397072641367,0.905,0.8883749999999999,2.0427141263428834,1.0
