model,class,mmd,wasserstein,swd,coverage,precision,nll,mode_coverage
kde,gaussian_mixture,0.00015839572781861655,0.2847722795191752,0.04460645172541182,0.96,0.9365,1.2977722632564843,1.0
kde,ring,0.0010359921596121424,0.3271139288428669,0.08376257477232527,0.9485,0.937,2.0899473541238605,
kde,two_moons,0.0001257192114656469,0.17458310134578728,0.030911839328812304,0.9485,0.923,1.9341846976413128,
kde,spiral,0.0004898447054000332,0.2090753563086469,0.04670508790172706,0.943,0.9295,2.5354584873096,
kde,macro_avg,0.0004524879510741098,0.24888616650411907,0.05149648843206911,0.9500000000000001,0.9315,1.9643407005828144,1.0
gmm,gaussian_mixture,0.00011293329028649879,0.18094428686528533,0.049632301377262135,0.9455,0.942,1.2618657377677878,1.0
gmm,ring,0.0007834343868104998,0.2424778890702266,0.07279414776698881,0.947,0.926,2.055806854828362,
gmm,two_moons,0.00023175562877120193,0.14700505910620046,0.033834593032165766,0.9305,0.936,1.9091412868176327,
gmm,spiral,0.000218709516064175,0.20535912549944643,0.037220125466924714,0.9405,0.924,2.3670506219918788,
gmm,macro_avg,0.0003367082054830939,0.1939465901352897,0.048370291910835354,0.940875,0.9319999999999999,1.8984661253514155,1.0
diffusion,gaussian_mixture,4.093098794810679e-05,0.3139888704525281,0.04553706519590617,0.952,0.93,1.377386518893125,1.0
diffusion,ring,0.0010100615190937745,0.27199934415460764,0.08463190898360126,0.953,0.937,2.1452504909188037,
diffusion,two_moons,0.0002491750091939693,0.14657618777344714,0.038350636355062445,0.94,0.917,1.9968540658368341,
diffusion,spiral,0.004394036169363513,0.257195658475549,0.14154165759764217,0.885,0.6185,3.002845595610418,
diffusion,macro_avg,0.001423550921399841,0.24744001521403297,0.077515317033053,0.9324999999999999,0.850625,2.130584167814795,1.0
